"question_id","option","primary_axis","target_axis","target_credit","low_evidence","weight","is_reverse","is_observer","is_neutral","is_diagnostic_null"
"iA-1","a","A","iA",1,0,1.5,false,false,false,false
"iA-1","b","D","iA",0,0,1.5,false,false,false,false
"iA-1","c","B","iA",0,0,1.5,false,false,false,false
"iA-1","d","null","iA",0,0,1.5,false,false,true,false
"iA-2","a","A","iA",1,0,1.5,false,false,false,false
"iA-2","b","D","iA",0,0,1.5,false,false,false,false
"iA-2","c","B","iA",0,0,1.5,false,false,false,false
"iA-2","d","null","iA",0,0,1.5,false,false,true,false
"iA-3","a","A","iA",1,0,1,false,false,false,false
"iA-3","b","D","iA",0,0,1,false,false,false,false
"iA-3","c","B","iA",0,0,1,false,false,false,false
"iA-3","d","null","iA",0,0,1,false,false,true,false
"iA-4","a","A","iA",1,0,1,false,false,false,false
"iA-4","b","D","iA",0,0,1,false,false,false,false
"iA-4","c","B","iA",0,0,1,false,false,false,false
"iA-4","d","null","iA",0,0,1,false,false,true,false
"iA-5","a","A","iA",1,0,1,false,false,false,false
"iA-5","b","D","iA",0,0,1,false,false,false,false
"iA-5","c","B","iA",0,0,1,false,false,false,false
"iA-5","d","null","iA",0,0,1,false,false,true,false
"eA-1","a","A","eA",1,0,1.5,false,false,false,false
"eA-1","b","D","eA",0,0,1.5,false,false,false,false
"eA-1","c","B","eA",0,0,1.5,false,false,false,false
"eA-1","d","null","eA",0,0,1.5,false,false,true,false
"eA-2","a","A","eA",1,0,1.5,false,false,false,false
"eA-2","b","D","eA",0,0,1.5,false,false,false,false
"eA-2","c","B","eA",0,0,1.5,false,false,false,false
"eA-2","d","null","eA",0,0,1.5,false,false,true,false
"eA-3","a","A","eA",1,0,1,true,false,false,false
"eA-3","b","D","eA",0.5,0.5,1,true,false,false,false
"eA-3","c","B","eA",0,0.5,1,true,false,false,false
"eA-3","d","null","eA",0,1,1,true,false,false,true
"eA-4","a","A","eA",1,0,1,false,false,false,false
"eA-4","b","D","eA",0.5,0,1,false,false,false,false
"eA-4","c","B","eA",0,0,1,false,false,false,false
"eA-4","d","null","eA",0,0,1,false,false,true,false
"eA-5","a","A","eA",1,0,1,true,false,false,false
"eA-5","b","D","eA",0.5,0.5,1,true,false,false,false
"eA-5","c","B","eA",0,1,1,true,false,false,false
"eA-5","d","null","eA",0,0,1,true,false,true,false
"FZ-1","a","FZ","FZ",1,0,1,false,false,false,false
"FZ-1","b","FZ","FZ",1,0,1,false,false,false,false
"FZ-1","c","null","FZ",0,0,1,false,false,true,false
"FZ-1","d","D","FZ",0,0,1,false,false,false,false
"FZ-2","a","FZ","FZ",1,0,1,false,false,false,false
"FZ-2","b","FZ","FZ",0.5,0,1,false,false,false,false
"FZ-2","c","null","FZ",0,0,1,false,false,true,false
"FZ-2","d","null","FZ",0,0,1,false,false,true,false
"A-1","a","A","A",1,0,1.5,false,false,false,false
"A-1","b","B","A",0,0.5,1.5,false,false,false,false
"A-1","c","C","A",0,0,1.5,false,false,false,false
"A-1","d","D","A",0,0.5,1.5,false,false,false,false
"A-2","a","A","A",1,0,1.5,false,false,false,false
"A-2","b","B","A",0,0.5,1.5,false,false,false,false
"A-2","c","C","A",0,0,1.5,false,false,false,false
"A-2","d","D","A",0,0.5,1.5,false,false,false,false
"A-3","a","A","A",1,0,1.5,false,false,false,false
"A-3","b","B","A",0,0.5,1.5,false,false,false,false
"A-3","c","C","A",0,0,1.5,false,false,false,false
"A-3","d","D","A",0,0.5,1.5,false,false,false,false
"A-4","a","A","A",1,0,1,false,false,false,false
"A-4","b","B","A",0,0.5,1,false,false,false,false
"A-4","c","C","A",0,0,1,false,false,false,false
"A-4","d","D","A",0,0.5,1,false,false,false,false
"A-5","a","A","A",1,0,1,false,false,false,false
"A-5","b","B","A",0,0.5,1,false,false,false,false
"A-5","c","C","A",0,0,1,false,false,false,false
"A-5","d","D","A",0,0.5,1,false,false,false,false
"A-6","a","A","A",1,0,1,false,false,false,false
"A-6","b","B","A",0,0.5,1,false,false,false,false
"A-6","c","C","A",0,0,1,false,false,false,false
"A-6","d","D","A",0,0.5,1,false,false,false,false
"A-7","a","A","A",1,0,1,true,false,false,false
"A-7","b","B","A",0.5,0.5,1,true,false,false,false
"A-7","c","C","A",0.5,0.5,1,true,false,false,false
"A-7","d","D","A",0,1,1,true,false,false,false
"A-8","a","A","A",1,0,1,true,false,false,false
"A-8","b","B","A",0,1,1,true,false,false,false
"A-8","c","C","A",0.5,0.5,1,true,false,false,false
"A-8","d","D","A",0,1,1,true,false,false,false
"B-1","a","B","B",1,0,1.5,false,false,false,false
"B-1","b","A","B",0,0,1.5,false,false,false,false
"B-1","c","D","B",0,0.5,1.5,false,false,false,false
"B-1","d","C","B",0,0,1.5,false,false,false,false
"B-2","a","B","B",1,0,1.5,false,false,false,false
"B-2","b","A","B",0,0,1.5,false,false,false,false
"B-2","c","C","B",0,0,1.5,false,false,false,false
"B-2","d","D","B",0,0.5,1.5,false,false,false,false
"B-3","a","B","B",1,0,1.5,false,false,false,false
"B-3","b","A","B",0,0,1.5,false,false,false,false
"B-3","c","C","B",0,0,1.5,false,false,false,false
"B-3","d","D","B",0,0.5,1.5,false,false,false,false
"B-4","a","B","B",1,0,1,false,false,false,false
"B-4","b","A","B",0,0,1,false,false,false,false
"B-4","c","C","B",0,0,1,false,false,false,false
"B-4","d","D","B",0,0.5,1,false,false,false,false
"B-5","a","B","B",1,0,1,false,false,false,false
"B-5","b","A","B",0,0,1,false,false,false,false
"B-5","c","C","B",0,0,1,false,false,false,false
"B-5","d","D","B",0,0.5,1,false,false,false,false
"B-6","a","B","B",1,0,1,false,false,false,false
"B-6","b","A","B",0,0,1,false,false,false,false
"B-6","c","C","B",0,0,1,false,false,false,false
"B-6","d","D","B",0,0.5,1,false,false,false,false
"B-7","a","A","B",0,1,1,true,false,false,false
"B-7","b","B","B",1,0,1,true,false,false,false
"B-7","c","C","B",0.5,0.5,1,true,false,false,false
"B-7","d","D","B",0.5,0.5,1,true,false,false,false
"B-8","a","A","B",0,1,1,true,false,false,false
"B-8","b","B","B",1,0,1,true,false,false,false
"B-8","c","C","B",0.5,0.5,1,true,false,false,false
"B-8","d","D","B",0,1,1,true,false,false,false
"C-1","a","C","C",1,0,1.5,false,false,false,false
"C-1","b","A","C",0,0.5,1.5,false,false,false,false
"C-1","c","B","C",0,0,1.5,false,false,false,false
"C-1","d","D","C",0,0,1.5,false,false,false,false
"C-2","a","C","C",1,0,1.5,false,false,false,false
"C-2","b","A","C",0,0.5,1.5,false,false,false,false
"C-2","c","B","C",0,0,1.5,false,false,false,false
"C-2","d","D","C",0,0,1.5,false,false,false,false
"C-3","a","C","C",1,0,1.5,false,false,false,false
"C-3","b","A","C",0,0.5,1.5,false,false,false,false
"C-3","c","B","C",0,0,1.5,false,false,false,false
"C-3","d","D","C",0,0,1.5,false,false,false,false
"C-4","a","C","C",1,0,1,false,false,false,false
"C-4","b","A","C",0,0.5,1,false,false,false,false
"C-4","c","B","C",0,0,1,false,false,false,false
"C-4","d","D","C",0,0,1,false,false,false,false
"C-5","a","C","C",1,0,1,false,false,false,false
"C-5","b","A","C",0,0.5,1,false,false,false,false
"C-5","c","B","C",0,0,1,false,false,false,false
"C-5","d","D","C",0,0,1,false,false,false,false
"C-6","a","C","C",1,0,1,false,false,false,false
"C-6","b","A","C",0,0.5,1,false,false,false,false
"C-6","c","B","C",0,0,1,false,false,false,false
"C-6","d","D","C",0,0,1,false,false,false,false
"C-7","a","D","C",0,1,1,true,false,false,false
"C-7","b","C","C",1,0,1,true,false,false,false
"C-7","c","A","C",0,0.5,1,true,false,false,false
"C-7","d","B","C",0,0.5,1,true,false,false,false
"C-8","a","C","C",1,0,1,true,false,false,false
"C-8","b","A","C",0,0.5,1,true,false,false,false
"C-8","c","B","C",0,0.5,1,true,false,false,false
"C-8","d","D","C",0,1,1,true,false,false,false
"D-1","a","D","D",1,0,1.5,false,false,false,false
"D-1","b","A","D",0,0.5,1.5,false,false,false,false
"D-1","c","B","D",0,0,1.5,false,false,false,false
"D-1","d","C","D",0,0,1.5,false,false,false,false
"D-2","a","D","D",1,0,1.5,false,false,false,false
"D-2","b","A","D",0,0.5,1.5,false,false,false,false
"D-2","c","B","D",0,0,1.5,false,false,false,false
"D-2","d","C","D",0,0,1.5,false,false,false,false
"D-3","a","D","D",1,0,1.5,false,false,false,false
"D-3","b","A","D",0,0.5,1.5,false,false,false,false
"D-3","c","B","D",0,0,1.5,false,false,false,false
"D-3","d","C","D",0,0,1.5,false,false,false,false
"D-4","a","D","D",1,0,1,false,false,false,false
"D-4","b","A","D",0,0.5,1,false,false,false,false
"D-4","c","B","D",0,0,1,false,false,false,false
"D-4","d","C","D",0,0,1,false,false,false,false
"D-5","a","D","D",1,0,1,false,false,false,false
"D-5","b","A","D",0,0.5,1,false,false,false,false
"D-5","c","B","D",0,0,1,false,false,false,false
"D-5","d","C","D",0,0,1,false,false,false,false
"D-6","a","D","D",1,0,1,false,false,false,false
"D-6","b","A","D",0,0.5,1,false,false,false,false
"D-6","c","B","D",0,0,1,false,false,false,false
"D-6","d","C","D",0,0,1,false,false,false,false
"D-7","a","A","D",0,1,1,true,false,false,false
"D-7","b","C","D",0.5,0.5,1,true,false,false,false
"D-7","c","B","D",0,1,1,true,false,false,false
"D-7","d","D","D",1,0,1,true,false,false,false
"D-8","a","A","D",0,1,1,true,false,false,false
"D-8","b","B","D",0,1,1,true,false,false,false
"D-8","c","C","D",0,0.5,1,true,false,false,false
"D-8","d","D","D",1,0,1,true,false,false,false
"OB-1","a","OB","OB",1,0,1.5,false,true,false,false
"OB-1","b","A","OB",0,0,1.5,false,true,false,false
"OB-1","c","B","OB",0,0,1.5,false,true,false,false
"OB-1","d","D","OB",0,0,1.5,false,true,false,false
"OB-2","a","OB","OB",1,0,1.5,false,true,false,false
"OB-2","b","A","OB",0,0,1.5,false,true,false,false
"OB-2","c","B","OB",0,0,1.5,false,true,false,false
"OB-2","d","D","OB",0,0,1.5,false,true,false,false
"OB-3","a","OB","OB",1,0,1,false,true,false,false
"OB-3","b","A","OB",0,0,1,false,true,false,false
"OB-3","c","B","OB",0,0,1,false,true,false,false
"OB-3","d","D","OB",0,0,1,false,true,false,false
"OB-4","a","OB","OB",1,0,1,false,true,false,false
"OB-4","b","A","OB",0,0,1,false,true,false,false
